
-------------------------------------------------------------
-------------- Model input ----------------------------------
-------------------------------------------------------------

Model parameters:

+-------------+----------+
| Parameter   |    Value |
|-------------+----------|
| w [m]       |      0.3 |
| h [m]       |      0.1 |
| a [m]       |     0.05 |
| b [m]       |    0.025 |
| E [Pa]      | 2.08e+11 |
| v [-]       |      0.5 |
| t [-]       |     0.01 |
+-------------+----------+

Model boundary conditions:

+----------+----------------+
|   Marker |   Displacement |
|----------+----------------|
|       80 |              0 |
+----------+----------------+

Loads:

+----------+-----------+------------+
|   Marker |   qx[N/m] |   qy [N/m] |
|----------+-----------+------------|
|       50 |     1e+05 |          0 |
+----------+-----------+------------+

-------------------------------------------------------------
-------------- Results --------------------------------------
-------------------------------------------------------------

Model info:

+---------------------+------+
| Max element size:   | 0.05 |
| Dofs per node:      |    2 |
| Element type:       |    2 |
| Number of dofs:     |  406 |
| Number of elements: |  342 |
| Number of nodes:    |  203 |
+---------------------+------+

Summary of results:

+----------------------+-----------+------+
| Max displacement:    |  1.23e-05 | [m]  |
| Min displacement:    | -9.97e-07 | [m]  |
| Max reaction force:  |       528 | [N]  |
| Min reaction force:  | -1.36e+03 | [N]  |
| Sum reaction forces: |    -1e+04 | [N]  |
| Max vonMises:        |  1.86e+07 | [Pa] |
| Min vonMises:        |  6.01e+05 | [Pa] |
+----------------------+-----------+------+

Results per node:

+-----+-------+-------+-----------+------------+----------+-----------+-----------+-----------+
|   N |   dof |   dof |   x_coord |    y_coord |      a_x |       a_y |       R_x |       R_y |
|     |     x |     y |       [m] |        [m] |     [mm] |      [mm] |      [kN] |      [kN] |
|-----+-------+-------+-----------+------------+----------+-----------+-----------+-----------|
|  38 | 8e+01 | 8e+01 |    0.2844 |        0.1 |   0.0117 | -0.000715 | -5.91e-15 | -4.55e-15 |
|  39 | 8e+01 | 8e+01 |    0.2687 |        0.1 |   0.0112 | -0.000744 | -8.81e-15 | -6.59e-15 |
|  40 | 8e+01 | 8e+01 |    0.2531 |        0.1 |   0.0107 | -0.000783 |  2.16e-15 |  2.73e-15 |
|  41 | 8e+01 | 8e+01 |    0.2375 |        0.1 |   0.0103 | -0.000846 |   1.1e-14 | -4.32e-15 |
|  42 | 8e+01 | 8e+01 |    0.2219 |        0.1 |  0.00987 | -0.000893 | -5.23e-15 |  6.82e-16 |
|  43 | 8e+01 | 9e+01 |    0.2062 |        0.1 |  0.00957 | -0.000938 | -5.29e-15 | -7.96e-16 |
|  44 | 9e+01 | 9e+01 |    0.1906 |        0.1 |  0.00944 | -0.000764 |    -5e-15 | -7.05e-15 |
|  45 | 9e+01 | 9e+01 |     0.175 |     0.0875 |  0.00902 |  -0.00034 |  7.28e-15 |  2.05e-15 |
|  46 | 9e+01 | 9e+01 |    0.1625 |      0.075 |  0.00692 | -0.000615 | -2.27e-15 |  1.59e-15 |
|  47 | 9e+01 | 9e+01 |      0.15 |      0.075 |  0.00606 | -0.000689 |  8.64e-15 | -4.55e-16 |
|  48 | 1e+02 | 1e+02 |    0.1375 |      0.075 |   0.0052 | -0.000624 | -9.89e-15 |  5.68e-15 |
|  49 | 1e+02 | 1e+02 |     0.125 |     0.0875 |  0.00313 |  -0.00035 | -1.85e-16 | -1.14e-16 |
|  50 | 1e+02 | 1e+02 |    0.1094 |        0.1 |  0.00269 |   -0.0008 |         0 | -1.14e-15 |
|  51 | 1e+02 | 1e+02 |   0.09375 |        0.1 |  0.00257 | -0.000997 |  4.55e-16 |  6.82e-16 |
|  52 | 1e+02 | 1e+02 |   0.07812 |        0.1 |  0.00227 | -0.000961 |   8.1e-16 | -5.68e-16 |
|  53 | 1e+02 | 1e+02 |    0.0625 |        0.1 |  0.00188 | -0.000909 | -4.55e-16 | -2.05e-15 |
|  54 | 1e+02 | 1e+02 |   0.04687 |        0.1 |  0.00145 | -0.000833 | -4.55e-16 | -2.27e-16 |
|  55 | 1e+02 | 1e+02 |   0.03125 |        0.1 |  0.00102 | -0.000719 | -1.36e-15 |  2.05e-15 |
|  56 | 1e+02 | 1e+02 |   0.01562 |        0.1 | 0.000567 |  -0.00052 | -3.41e-16 |         0 |
|  57 | 1e+02 | 1e+02 |         0 |    0.08571 |        0 |         0 |     -1.36 |     0.261 |
|  58 | 1e+02 | 1e+02 |         0 |    0.07143 |        0 |         0 |     -1.29 |     0.151 |
|  59 | 1e+02 | 1e+02 |         0 |    0.05714 |        0 |         0 |     -1.28 |    0.0609 |
|  60 | 1e+02 | 1e+02 |         0 |    0.04286 |        0 |         0 |      -1.3 |   -0.0632 |
|  61 | 1e+02 | 1e+02 |         0 |    0.02857 |        0 |         0 |      -1.3 |    -0.152 |
