
    -------------------------------------------------------------
    -------------- Model input ----------------------------------
    -------------------------------------------------------------

    Model parameters:

    +---------------+---------+
    | Parameter     |   Value |
    |---------------+---------|
    | w [m]         |     100 |
    | h [m]         |      10 |
    | d [m]         |       5 |
    | t [m]         |     0.5 |
    | thickness [m] |       1 |
    | kx [m/day]    |      20 |
    | ky [m/day]    |      20 |
    +---------------+---------+

    Model boundary conditions:

    +----------+--------------------+
    |   Marker |   Piezometric head |
    |----------+--------------------|
    |       10 |                 10 |
    |       20 |                  0 |
    +----------+--------------------+

    -------------------------------------------------------------
    -------------- Results --------------------------------------
    -------------------------------------------------------------

    Model info:

    +---------------------+-----+
    | Max element size:   |   2 |
    | Dofs per node:      |   1 |
    | Element type:       |   3 |
    | Number of dofs:     | 422 |
    | Number of elements: | 359 |
    | Number of nodes:    | 422 |
    +---------------------+-----+

    Summary of results:

    +------------------------+---------+---------+
    | Max piezometric head:  |  10.000 | [m]     |
    | Min piezometric head:  |   0.000 | [m]     |
    | Max boundary flow:     |  18.314 | [m/day] |
    | Min boundary flow:     | -18.443 | [m/day] |
    | Sum boundary flow:     |  -0.000 | [m/day] |
    | Max resulting gw flow: |  32.534 | [m/day] |
    | Min resulting gw flow: |   0.002 | [m/day] |
    +------------------------+---------+---------+

    Results per node:

    +-----+-------+-----------+------------+--------+-----------+
    |   N |   dof |   x_coord |    y_coord |   P.h. |      q BC |
    |     |       |       [m] |        [m] |    [m] |   [m/day] |
    |-----+-------+-----------+------------+--------+-----------|
    | 101 |   101 |      36.4 |       10.0 | 10.000 |     3.703 |
    | 102 |   102 |      34.4 |       10.0 | 10.000 |     2.887 |
    | 103 |   103 |      32.5 |       10.0 | 10.000 |     2.042 |
    | 104 |   104 |      30.6 |       10.0 | 10.000 |     1.568 |
    | 105 |   105 |      28.7 |       10.0 | 10.000 |     1.113 |
    | 106 |   106 |      26.8 |       10.0 | 10.000 |     0.860 |
    | 107 |   107 |      24.9 |       10.0 | 10.000 |     0.602 |
    | 108 |   108 |      23.0 |       10.0 | 10.000 |     0.467 |
    | 109 |   109 |      21.0 |       10.0 | 10.000 |     0.330 |
    | 110 |   110 |      19.1 |       10.0 | 10.000 |     0.256 |
    | 111 |   111 |      17.2 |       10.0 | 10.000 |     0.182 |
    | 112 |   112 |      15.3 |       10.0 | 10.000 |     0.139 |
    | 113 |   113 |      13.4 |       10.0 | 10.000 |     0.098 |
    | 114 |   114 |      11.5 |       10.0 | 10.000 |     0.077 |
    | 115 |   115 |       9.6 |       10.0 | 10.000 |     0.053 |
    | 116 |   116 |       7.7 |       10.0 | 10.000 |     0.046 |
    | 117 |   117 |       5.7 |       10.0 | 10.000 |     0.033 |
    | 118 |   118 |       3.8 |       10.0 | 10.000 |     0.029 |
    | 119 |   119 |       1.9 |       10.0 | 10.000 |     0.024 |
    | 120 |   120 |       0.0 |        8.3 |  9.999 |     0.000 |
    | 121 |   121 |       0.0 |        6.7 |  9.998 |     0.000 |
    | 122 |   122 |       0.0 |        5.0 |  9.997 |     0.000 |
    | 123 |   123 |       0.0 |        3.3 |  9.997 |    -0.000 |
    | 124 |   124 |       0.0 |        1.7 |  9.996 |     0.000 |
    | 125 |   125 |      51.1 |        5.7 |  2.928 |    -0.000 |
    | 126 |   126 |      48.8 |        5.6 |  7.058 |     0.000 |
    | 127 |   127 |      95.5 |        1.8 |  0.005 |     0.000 |
    | 128 |   128 |       5.4 |        1.7 |  9.995 |    -0.000 |
    | 129 |   129 |      55.8 |        1.7 |  2.074 |     0.000 |
    | 130 |   130 |      58.8 |        8.4 |  0.332 |    -0.000 |
    | 131 |   131 |      62.3 |        8.4 |  0.187 |     0.000 |
    | 132 |   132 |      44.5 |        1.6 |  7.848 |    -0.000 |
    | 133 |   133 |      40.5 |        8.3 |  9.685 |     0.000 |
    | 134 |   134 |      36.9 |        8.3 |  9.815 |     0.000 |
    | 135 |   135 |      49.9 |        4.5 |  5.127 |     0.000 |
    | 136 |   136 |      50.5 |        4.4 |  4.395 |     0.000 |
    | 137 |   137 |      10.8 |        8.3 |  9.997 |    -0.000 |
    | 138 |   138 |      89.3 |        8.4 |  0.003 |     0.000 |
    | 139 |   139 |      66.1 |        8.4 |  0.104 |    -0.000 |
    | 140 |   140 |      33.1 |        8.3 |  9.902 |    -0.000 |
    | 141 |   141 |      14.4 |        8.5 |  9.996 |     0.000 |
    | 142 |   142 |      85.4 |        8.4 |  0.005 |    -0.000 |
    | 143 |   143 |      69.9 |        8.4 |  0.056 |     0.000 |
    | 144 |   144 |      29.3 |        8.4 |  9.948 |     0.000 |
    | 145 |   145 |      81.5 |        8.4 |  0.009 |     0.000 |
    | 146 |   146 |      17.4 |        8.4 |  9.992 |     0.000 |
    | 147 |   147 |      73.8 |        8.4 |  0.030 |     0.000 |
    | 148 |   148 |      25.4 |        8.4 |  9.972 |     0.000 |
    | 149 |   149 |      21.4 |        8.3 |  9.984 |     0.000 |
    | 150 |   150 |      77.6 |        8.4 |  0.016 |    -0.000 |
    | 151 |   151 |      55.1 |        8.7 |  0.487 |     0.000 |
    | 152 |   152 |      44.1 |        8.4 |  9.471 |    -0.000 |
    | 153 |   153 |       1.4 |        5.9 |  9.998 |    -0.000 |
    | 154 |   154 |      98.0 |        5.8 |  0.002 |     0.000 |
    | 155 |   155 |       7.1 |        8.4 |  9.998 |     0.000 |
