
    -------------------------------------------------------------
    -------------- Model input ----------------------------------
    -------------------------------------------------------------

    Model parameters:

    +-------------+----------+
    | Parameter   |    Value |
    |-------------+----------|
    | w [m]       |      0.3 |
    | h [m]       |      0.1 |
    | a [m]       |     0.05 |
    | b [m]       |    0.025 |
    | E [Pa]      | 2.08e+11 |
    | v [-]       |      0.3 |
    | t [-]       |     0.01 |
    +-------------+----------+

    Model boundary conditions:

    +----------+----------------+
    |   Marker |   Displacement |
    |----------+----------------|
    |       80 |              0 |
    +----------+----------------+

    Loads:

    +----------+-----------+------------+
    |   Marker |   qx[N/m] |   qy [N/m] |
    |----------+-----------+------------|
    |       50 |     1e+05 |          0 |
    +----------+-----------+------------+

    -------------------------------------------------------------
    -------------- Results --------------------------------------
    -------------------------------------------------------------

    Model info:

    +---------------------+------+
    | Max element size:   | 0.05 |
    | Dofs per node:      |    2 |
    | Element type:       |    3 |
    | Number of dofs:     |  410 |
    | Number of elements: |  172 |
    | Number of nodes:    |  205 |
    +---------------------+------+

    Summary of results:

    +----------------------+-----------+------+
    | Max displacement:    |  1.87e-05 | [m]  |
    | Min displacement:    | -1.02e-06 | [m]  |
    | Max reaction force:  |       293 | [N]  |
    | Min reaction force:  | -1.24e+03 | [N]  |
    | Sum reaction forces: |    -1e+04 | [N]  |
    | Max vonMises:        |  2.45e+07 | [Pa] |
    | Min vonMises:        |  3.99e+05 | [Pa] |
    +----------------------+-----------+------+

    Results per node:

    +-----+-------+-------+-----------+------------+----------+-----------+-----------+-----------+
    |   N |   dof |   dof |   x_coord |    y_coord |      a_x |       a_y |       R_x |       R_y |
    |     |     x |     y |       [m] |        [m] |     [mm] |      [mm] |      [kN] |      [kN] |
    |-----+-------+-------+-----------+------------+----------+-----------+-----------+-----------|
    |  37 | 7e+01 | 7e+01 |       0.3 |      0.075 |   0.0187 | -0.000424 |  3.87e-15 |  1.59e-15 |
    |  38 | 8e+01 | 8e+01 |       0.3 |     0.0875 |   0.0187 | -0.000603 | -6.82e-15 |  2.84e-15 |
    |  39 | 8e+01 | 8e+01 |    0.2844 |        0.1 |   0.0179 | -0.000798 | -4.91e-15 | -1.36e-15 |
    |  40 | 8e+01 | 8e+01 |    0.2687 |        0.1 |   0.0172 | -0.000822 |  5.85e-15 |  2.96e-15 |
    |  41 | 8e+01 | 8e+01 |    0.2531 |        0.1 |   0.0164 | -0.000866 |  4.06e-15 | -6.82e-16 |
    |  42 | 8e+01 | 8e+01 |    0.2375 |        0.1 |   0.0157 | -0.000932 |  -2.7e-16 | -1.31e-15 |
    |  43 | 8e+01 | 9e+01 |    0.2219 |        0.1 |   0.0151 |  -0.00101 |  9.95e-15 |  2.05e-15 |
    |  44 | 9e+01 | 9e+01 |    0.2062 |        0.1 |   0.0147 |  -0.00102 | -2.16e-15 | -1.82e-15 |
    |  45 | 9e+01 | 9e+01 |    0.1906 |        0.1 |   0.0146 | -0.000786 |  7.62e-15 | -7.96e-16 |
    |  46 | 9e+01 | 9e+01 |     0.175 |     0.0875 |   0.0139 |   7.7e-05 | -2.25e-15 | -4.09e-15 |
    |  47 | 9e+01 | 9e+01 |    0.1625 |      0.075 |   0.0106 | -0.000478 | -5.27e-15 |  1.02e-15 |
    |  48 | 1e+02 | 1e+02 |      0.15 |      0.075 |  0.00931 |  -0.00057 |  2.69e-15 |  4.55e-16 |
    |  49 | 1e+02 | 1e+02 |    0.1375 |      0.075 |  0.00806 | -0.000497 |  1.28e-15 |  1.82e-15 |
    |  50 | 1e+02 | 1e+02 |     0.125 |     0.0875 |  0.00474 |  6.37e-05 | -5.68e-16 | -7.96e-16 |
    |  51 | 1e+02 | 1e+02 |    0.1094 |        0.1 |  0.00407 |  -0.00074 |  1.88e-15 |  7.96e-16 |
    |  52 | 1e+02 | 1e+02 |   0.09375 |        0.1 |  0.00394 | -0.000994 |  1.59e-15 | -1.14e-16 |
    |  53 | 1e+02 | 1e+02 |   0.07812 |        0.1 |  0.00352 | -0.000975 |  3.84e-16 |  6.25e-16 |
    |  54 | 1e+02 | 1e+02 |    0.0625 |        0.1 |  0.00293 | -0.000889 |  2.56e-16 |  4.55e-16 |
    |  55 | 1e+02 | 1e+02 |   0.04687 |        0.1 |  0.00227 | -0.000791 |  8.53e-16 | -4.55e-16 |
    |  56 | 1e+02 | 1e+02 |   0.03125 |        0.1 |  0.00158 | -0.000667 |  2.84e-17 |  6.82e-16 |
    |  57 | 1e+02 | 1e+02 |   0.01562 |        0.1 | 0.000863 | -0.000473 | -2.84e-17 |  9.09e-16 |
    |  58 | 1e+02 | 1e+02 |         0 |     0.0875 |        0 |         0 |     -1.24 |     0.152 |
    |  59 | 1e+02 | 1e+02 |         0 |      0.075 |        0 |         0 |     -1.17 |     0.109 |
    |  60 | 1e+02 | 1e+02 |         0 |     0.0625 |        0 |         0 |     -1.16 |    0.0535 |
    |  61 | 1e+02 | 1e+02 |         0 |       0.05 |        0 |         0 |     -1.16 |  -0.00121 |
    |  62 | 1e+02 | 1e+02 |         0 |     0.0375 |        0 |         0 |     -1.16 |   -0.0506 |
    |  63 | 1e+02 | 1e+02 |         0 |      0.025 |        0 |         0 |     -1.17 |    -0.106 |
    |  64 | 1e+02 | 1e+02 |         0 |     0.0125 |        0 |         0 |     -1.24 |    -0.156 |
    |  65 | 1e+02 | 1e+02 |    0.2888 |    0.04352 |   0.0182 |     4e-05 |  8.99e-15 | -2.79e-15 |
    |  66 | 1e+02 | 1e+02 |   0.01182 |    0.05115 | 0.000498 |  -5.5e-06 | -2.84e-16 |  3.55e-18 |
    |  67 | 1e+02 | 1e+02 |   0.07393 |    0.01484 |  0.00342 |  0.000766 | -5.46e-15 |  7.96e-16 |
    |  68 | 1e+02 | 1e+02 |    0.2259 |     0.0879 |   0.0152 | -0.000837 |  2.79e-14 |  2.27e-15 |
    |  69 | 1e+02 | 1e+02 |    0.2439 |     0.0156 |    0.016 |   0.00059 |  6.25e-15 |  6.88e-15 |
    |  70 | 1e+02 | 1e+02 |   0.05998 |    0.08414 |   0.0028 | -0.000657 |  4.21e-15 | -2.27e-16 |
    |  71 | 1e+02 | 1e+02 |    0.2163 |    0.01306 |   0.0148 |  0.000797 |  3.64e-15 | -3.98e-15 |
    |  72 | 1e+02 | 1e+02 |   0.09174 |    0.08797 |  0.00408 | -0.000886 | -1.42e-15 | -4.55e-16 |
    |  73 | 1e+02 | 1e+02 |    0.2562 |     0.0881 |   0.0166 | -0.000686 | -1.66e-14 |  2.27e-16 |
    |  74 | 1e+02 | 1e+02 |   0.04259 |    0.01323 |    0.002 |  0.000578 | -1.08e-15 |  1.25e-15 |
