
    -------------------------------------------------------------
    -------------- Model input ----------------------------------
    -------------------------------------------------------------

    Model parameters:

    +-------------+----------+
    | Parameter   |    Value |
    |-------------+----------|
    | w [m]       |      0.3 |
    | h [m]       |      0.1 |
    | a [m]       |     0.05 |
    | b [m]       |    0.025 |
    | E [Pa]      | 2.08e+11 |
    | v [-]       |      0.3 |
    | t [-]       |     0.01 |
    +-------------+----------+

    Model boundary conditions:

    +----------+----------------+
    |   Marker |   Displacement |
    |----------+----------------|
    |       80 |              0 |
    +----------+----------------+

    Loads:

    +----------+-----------+------------+
    |   Marker |   qx[N/m] |   qy [N/m] |
    |----------+-----------+------------|
    |       50 |     1e+05 |          0 |
    +----------+-----------+------------+

    -------------------------------------------------------------
    -------------- Results --------------------------------------
    -------------------------------------------------------------

    Model info:

    +---------------------+------+
    | Max element size:   | 0.05 |
    | Dofs per node:      |    2 |
    | Element type:       |    3 |
    | Number of dofs:     |  410 |
    | Number of elements: |  172 |
    | Number of nodes:    |  205 |
    +---------------------+------+

    Summary of results:

    +----------------------+-----------+------+
    | Max displacement:    |  1.87e-05 | [m]  |
    | Min displacement:    | -1.02e-06 | [m]  |
    | Max reaction force:  |       293 | [N]  |
    | Min reaction force:  | -1.24e+03 | [N]  |
    | Sum reaction forces: |    -1e+04 | [N]  |
    | Max vonMises:        |  2.45e+07 | [Pa] |
    | Min vonMises:        |  3.99e+05 | [Pa] |
    +----------------------+-----------+------+

    Results per node:

    +-----+-------+-------+-----------+------------+----------+-----------+-----------+-----------+
    |   N |   dof |   dof |   x_coord |    y_coord |      a_x |       a_y |       R_x |       R_y |
    |     |     x |     y |       [m] |        [m] |     [mm] |      [mm] |      [kN] |      [kN] |
    |-----+-------+-------+-----------+------------+----------+-----------+-----------+-----------|
    | 131 | 3e+02 | 3e+02 |    0.2435 |     0.0758 |    0.016 | -0.000546 | -3.22e-14 |  3.84e-15 |
    | 132 | 3e+02 | 3e+02 |   0.03929 |    0.07502 |  0.00181 | -0.000383 | -3.87e-15 |         0 |
    | 133 | 3e+02 | 3e+02 |   0.02442 |    0.05171 |  0.00107 | -1.78e-05 | -6.25e-16 |  -4.9e-16 |
    | 134 | 3e+02 | 3e+02 |   0.07713 |    0.08713 |  0.00353 | -0.000815 | -1.48e-15 | -1.14e-15 |
    | 135 | 3e+02 | 3e+02 |   0.06657 |      0.075 |  0.00314 | -0.000543 |  1.78e-16 |  1.85e-15 |
    | 136 | 3e+02 | 3e+02 |    0.2315 |     0.0188 |   0.0154 |  0.000616 | -5.85e-15 | -6.48e-15 |
    | 137 | 3e+02 | 3e+02 |    0.2756 |    0.05184 |   0.0175 | -8.32e-05 | -2.58e-14 | -2.79e-15 |
    | 138 | 3e+02 | 3e+02 |    0.2113 |    0.03814 |   0.0141 |   0.00029 | -1.85e-14 |  5.68e-16 |
    | 139 | 3e+02 | 3e+02 |    0.2747 |    0.02512 |   0.0175 |  0.000336 | -1.46e-15 |  1.14e-16 |
    | 140 | 3e+02 | 3e+02 |    0.2711 |    0.08809 |   0.0173 | -0.000646 |  1.13e-14 |  3.07e-15 |
    | 141 | 3e+02 | 3e+02 |    0.0274 |    0.01227 |  0.00129 |  0.000459 |  2.13e-15 |  6.82e-16 |
    | 142 | 3e+02 | 3e+02 |   0.08659 |    0.01732 |  0.00402 |  0.000791 |  8.58e-15 | -4.55e-16 |
    | 143 | 3e+02 | 3e+02 |    0.1053 |    0.08887 |  0.00447 | -0.000801 |  5.63e-15 |  5.12e-16 |
    | 144 | 3e+02 | 3e+02 |   0.09085 |    0.07539 |  0.00439 | -0.000666 |  7.39e-16 |  2.05e-15 |
    | 145 | 3e+02 | 3e+02 |    0.2577 |    0.01377 |   0.0166 |  0.000554 |  1.39e-14 |  1.59e-15 |
    | 146 | 3e+02 | 3e+02 |    0.1394 |     0.0655 |  0.00827 |  -0.00024 | -1.05e-14 | -1.59e-15 |
    | 147 | 3e+02 | 3e+02 |    0.1574 |    0.03588 |     0.01 |  0.000227 |  -4.8e-15 | -1.14e-16 |
    | 148 | 3e+02 | 3e+02 |    0.1535 |    0.04595 |  0.00961 |  5.85e-05 |  -3.4e-15 | -1.42e-17 |
    | 149 | 3e+02 | 3e+02 |    0.1511 |    0.06467 |  0.00941 | -0.000297 |  9.08e-15 |  2.05e-15 |
    | 150 | 3e+02 | 3e+02 |    0.1153 |    0.02066 |  0.00542 |  0.000515 | -2.27e-15 |   3.3e-15 |
    | 151 | 3e+02 | 3e+02 |    0.1092 |    0.02557 |  0.00543 |   0.00057 |  8.84e-15 |  2.27e-16 |
    | 152 | 3e+02 | 3e+02 |    0.1868 |    0.08065 |   0.0134 | -0.000617 | -5.06e-15 |  5.91e-15 |
    | 153 | 3e+02 | 3e+02 |    0.2876 |    0.02422 |   0.0181 |  0.000328 | -3.82e-15 | -6.76e-15 |
    | 154 | 3e+02 | 3e+02 |   0.01283 |    0.07573 | 0.000552 | -0.000151 | -1.05e-15 | -5.76e-16 |
    | 155 | 3e+02 | 3e+02 |    0.2867 |    0.07572 |   0.0181 | -0.000442 | -1.67e-14 |  4.32e-15 |
    | 156 | 3e+02 | 3e+02 |   0.01153 |    0.03918 | 0.000486 |  5.61e-05 |   8.1e-16 |  9.77e-17 |
    | 157 | 3e+02 | 3e+02 |    0.0119 |    0.01998 | 0.000518 |  0.000166 | -7.96e-16 | -1.71e-16 |
    | 158 | 3e+02 | 3e+02 |    0.2881 |     0.0518 |   0.0181 | -8.44e-05 | -2.42e-14 |  2.59e-15 |
    | 159 | 3e+02 | 3e+02 |   0.01226 |    0.06337 | 0.000519 | -7.19e-05 | -6.11e-16 | -2.84e-17 |
    | 160 | 3e+02 | 3e+02 |    0.2203 |    0.02284 |   0.0148 |  0.000611 |  3.55e-14 |  5.46e-15 |
    | 161 | 3e+02 | 3e+02 |    0.2885 |    0.03268 |   0.0181 |  0.000202 | -5.12e-15 |  2.03e-15 |
    | 162 | 3e+02 | 3e+02 |   0.05866 |    0.01404 |  0.00273 |  0.000675 |  3.98e-16 | -2.27e-16 |
    | 163 | 3e+02 | 3e+02 |   0.07229 |    0.03111 |  0.00349 |  0.000455 | -6.11e-16 | -1.14e-16 |
    | 164 | 3e+02 | 3e+02 |    0.2374 |    0.03286 |   0.0156 |  0.000323 |     5e-15 |  -2.5e-15 |
    | 165 | 3e+02 | 3e+02 |    0.1957 |    0.01476 |    0.014 |   0.00074 | -3.64e-15 | -4.55e-16 |
    | 166 | 3e+02 | 3e+02 |   0.02417 |    0.03941 |  0.00106 |  0.000108 |  1.61e-15 |  2.84e-16 |
    | 167 | 3e+02 | 3e+02 |      0.12 |    0.03153 |  0.00651 |  0.000245 |  4.89e-15 |  7.96e-16 |
    | 168 | 3e+02 | 3e+02 |    0.2742 |     0.0638 |   0.0174 | -0.000273 | -1.02e-14 | -9.09e-16 |
    | 169 | 3e+02 | 3e+02 |   0.02617 |    0.07577 |  0.00117 | -0.000291 |  1.39e-15 | -6.68e-16 |
    | 170 | 3e+02 | 3e+02 |    0.2016 |    0.07381 |   0.0138 | -0.000662 |  7.96e-15 | -9.09e-16 |
    | 171 | 3e+02 | 3e+02 |    0.2788 |     0.0384 |   0.0177 |  0.000126 | -1.71e-15 |  1.59e-15 |
    | 172 | 3e+02 | 3e+02 |    0.2727 |    0.07594 |   0.0174 | -0.000462 |  2.87e-14 |  3.24e-15 |
    | 173 | 3e+02 | 3e+02 |   0.09092 |    0.05924 |  0.00472 | -0.000267 | -4.15e-15 |         0 |
    | 174 | 3e+02 | 3e+02 |   0.02502 |    0.06373 |   0.0011 | -0.000146 |  1.39e-15 |  2.27e-16 |
    | 175 | 3e+02 | 4e+02 |   0.03976 |    0.02651 |  0.00183 |  0.000364 | -1.02e-15 | -1.59e-15 |
    | 176 | 4e+02 | 4e+02 |   0.02214 |    0.02575 | 0.000976 |  0.000235 |   2.9e-15 |  3.13e-16 |
    | 177 | 4e+02 | 4e+02 |    0.2111 |    0.08722 |   0.0146 | -0.000896 |  2.72e-15 |  4.55e-16 |
    | 178 | 4e+02 | 4e+02 |    0.2582 |    0.07586 |   0.0167 | -0.000493 |  5.53e-15 |   2.5e-15 |
    | 179 | 4e+02 | 4e+02 |    0.1043 |    0.07745 |  0.00502 | -0.000675 |  2.53e-15 |  3.41e-16 |
    | 180 | 4e+02 | 4e+02 |    0.0768 |    0.07498 |  0.00366 |   -0.0006 | -6.61e-15 |  1.62e-15 |
    | 181 | 4e+02 | 4e+02 |    0.1517 |    0.05522 |  0.00945 |  -9.6e-05 |   1.1e-14 |     2e-15 |
    | 182 | 4e+02 | 4e+02 |    0.1637 |    0.04795 |   0.0105 |  1.29e-05 |   3.1e-15 |  2.36e-15 |
    | 183 | 4e+02 | 4e+02 |    0.2492 |    0.02904 |   0.0162 |  0.000347 | -6.31e-15 | -1.73e-15 |
    | 184 | 4e+02 | 4e+02 |    0.2408 |    0.08798 |   0.0159 | -0.000752 | -6.76e-15 | -8.19e-15 |
    | 185 | 4e+02 | 4e+02 |   0.04319 |    0.08693 |  0.00203 | -0.000584 |  -3.3e-15 |  9.09e-16 |
    | 186 | 4e+02 | 4e+02 |    0.1328 |    0.03409 |  0.00764 |  0.000124 |  6.79e-15 |  1.71e-15 |
    | 187 | 4e+02 | 4e+02 |    0.2285 |    0.07559 |   0.0152 | -0.000618 |  1.89e-14 |  4.55e-16 |
    | 188 | 4e+02 | 4e+02 |     0.179 |    0.04195 |   0.0117 |   6.2e-05 |  6.91e-15 | -1.38e-15 |
    | 189 | 4e+02 | 4e+02 |    0.0619 |    0.06698 |  0.00295 | -0.000364 | -3.47e-15 | -6.82e-16 |
    | 190 | 4e+02 | 4e+02 |   0.09494 |    0.02105 |  0.00448 |  0.000732 |  5.12e-15 | -3.18e-15 |
    | 191 | 4e+02 | 4e+02 |    0.1129 |    0.01237 |  0.00471 |  0.000641 | -1.34e-15 | -2.39e-15 |
    | 192 | 4e+02 | 4e+02 |    0.2856 |    0.08784 |    0.018 | -0.000621 |  4.23e-14 | -3.87e-15 |
    | 193 | 4e+02 | 4e+02 |   0.01352 |    0.01167 | 0.000612 |  0.000262 | -4.26e-17 | -5.83e-16 |
    | 194 | 4e+02 | 4e+02 |    0.1837 |    0.08851 |    0.014 |  -0.00051 |  -1.4e-14 |  7.96e-16 |
    | 195 | 4e+02 | 4e+02 |     0.286 |    0.01238 |    0.018 |  0.000504 | -4.26e-17 | -8.87e-15 |
    | 196 | 4e+02 | 4e+02 |   0.01415 |    0.08782 | 0.000639 | -0.000268 | -4.12e-16 | -8.53e-16 |
    | 197 | 4e+02 | 4e+02 |    0.1869 |    0.04567 |   0.0123 |  5.21e-05 |  -1.9e-15 | -1.53e-15 |
    | 198 | 4e+02 | 4e+02 |    0.1144 |    0.08945 |  0.00458 | -0.000542 |  1.08e-15 |  1.25e-15 |
    | 199 | 4e+02 | 4e+02 |    0.2088 |    0.02533 |   0.0142 |  0.000608 | -1.96e-14 | -1.82e-15 |
    | 200 | 4e+02 | 4e+02 |    0.1419 |    0.04544 |  0.00858 |  4.71e-05 | -1.04e-14 |  3.13e-15 |
    | 201 | 4e+02 | 4e+02 |    0.1832 |    0.01128 |   0.0139 |   0.00041 | -3.13e-16 |  5.91e-15 |
    | 202 | 4e+02 | 4e+02 |     0.186 |    0.01868 |   0.0134 |  0.000531 | -1.48e-15 | -2.73e-15 |
    | 203 | 4e+02 | 4e+02 |    0.1904 |    0.07081 |    0.013 | -0.000512 |  1.39e-14 |  3.64e-15 |
    | 204 | 4e+02 | 4e+02 |   0.05129 |    0.07186 |   0.0024 | -0.000404 | -2.84e-15 | -6.82e-16 |
    | 205 | 4e+02 | 4e+02 |     0.207 |    0.01295 |   0.0145 |  0.000825 |  2.91e-14 |  2.73e-15 |
    +-----+-------+-------+-----------+------------+----------+-----------+-----------+-----------+

    Results per element:

    +------+-------+-------+-------+-------+----------+-----------+----------+---------+----------+----------+----------+
    |   El |     N |     N |     N |     N |   sig_xx |    sig_yy |   tau_xy |   vMise |   eps_xx |   eps_yy |   eps_xy |
    |   Nb |     1 |     2 |     3 |     4 |    [MPa] |     [MPa] |    [MPa] |   [MPa] |      [-] |      [-] |      [-] |
    |------+-------+-------+-------+-------+----------+-----------+----------+---------+----------+----------+----------|
    |    1 | 1e+02 | 1e+02 | 2e+02 | 7e+01 |     9.84 |    -0.333 |   -0.445 |      10 |  4.8e-05 | -1.6e-05 | -5.6e-06 |
    |    2 | 9e+01 | 1e+02 | 1e+02 | 1e+02 |     13.6 |     -1.58 |   -0.457 |    14.5 |  6.8e-05 | -2.7e-05 | -5.7e-06 |
    |    3 | 2e+02 | 1e+02 | 2e+02 | 7e+01 |     9.82 |    -0.709 |    0.935 |    10.3 |  4.8e-05 | -1.8e-05 |  1.2e-05 |
    |    4 | 7e+01 | 2e+02 | 1e+02 | 2e+02 |     9.82 |    -0.285 |    0.451 |      10 |  4.8e-05 | -1.6e-05 |  5.6e-06 |
    |    5 | 1e+02 | 1e+02 | 2e+02 | 7e+01 |     9.96 |    -0.927 |     1.46 |    10.8 |  4.9e-05 | -1.9e-05 |  1.8e-05 |
    |    6 | 2e+02 | 1e+02 | 2e+02 | 1e+02 |     10.3 |     -1.07 |    -1.21 |    11.1 |  5.1e-05 |   -2e-05 | -1.5e-05 |
    |    7 | 2e+02 | 1e+02 | 2e+02 | 6e+01 |       10 |    -0.195 |  -0.0141 |    10.1 |  4.9e-05 | -1.5e-05 | -1.8e-07 |
    |    8 | 1e+02 | 2e+02 | 9e+01 | 8e+01 |     12.8 |     -0.17 |    -3.32 |    14.1 |  6.2e-05 | -1.9e-05 | -4.2e-05 |
    |    9 | 2e+02 | 1e+02 | 7e+01 | 2e+02 |     9.87 |      1.35 |    0.135 |    9.28 |  4.6e-05 | -7.8e-06 |  1.7e-06 |
    |   10 | 8e+01 | 1e+02 | 1e+02 | 1e+02 |      9.9 |    -0.168 |   -0.203 |    9.99 |  4.8e-05 | -1.5e-05 | -2.5e-06 |
    |   11 | 2e+02 | 1e+02 | 2e+02 | 1e+02 |     11.4 |     -1.52 |    -1.51 |    12.5 |  5.7e-05 | -2.4e-05 | -1.9e-05 |
    |   12 | 2e+02 | 1e+02 | 2e+02 | 9e+01 |     9.16 |    -0.797 |     2.52 |    10.5 |  4.5e-05 | -1.7e-05 |  3.1e-05 |
    |   13 | 2e+02 | 1e+02 | 2e+02 | 8e+01 |     9.94 |    0.0841 |    -0.34 |    9.92 |  4.8e-05 | -1.4e-05 | -4.3e-06 |
    |   14 | 9e+01 | 1e+02 | 1e+02 | 2e+02 |     15.1 |    -0.405 |   -0.268 |    15.4 |  7.3e-05 | -2.4e-05 | -3.3e-06 |
    |   15 | 2e+02 | 2e+02 | 1e+02 | 9e+01 |     17.1 |      2.82 |     1.41 |      16 |  7.8e-05 | -1.1e-05 |  1.8e-05 |
    |   16 | 2e+02 | 2e+02 | 1e+02 | 1e+02 |     16.2 |      1.65 |   -0.146 |    15.4 |  7.5e-05 | -1.5e-05 | -1.8e-06 |
    |   17 | 2e+02 | 2e+02 | 2e+02 | 8e+01 |       10 |    -0.152 |   0.0822 |    10.1 |  4.8e-05 | -1.5e-05 |    1e-06 |
    |   18 | 2e+02 | 7e+01 | 2e+02 | 1e+02 |     9.73 |    -0.309 |    0.515 |    9.93 |  4.7e-05 | -1.6e-05 |  6.4e-06 |
    |   19 | 2e+01 | 3e+01 | 2e+02 | 2e+02 |      4.2 |     0.065 |    -1.64 |    5.04 |    2e-05 | -5.7e-06 |   -2e-05 |
    |   20 | 1e+02 | 2e+02 | 2e+02 | 1e+02 |     11.2 |     -1.43 |    -1.62 |    12.3 |  5.6e-05 | -2.3e-05 |   -2e-05 |
    |   21 | 5e+01 | 5e+01 | 1e+02 | 7e+01 |     6.67 |    -0.175 |    -1.05 |       7 |  3.2e-05 |   -1e-05 | -1.3e-05 |
    |   22 | 2e+02 | 1e+02 | 1e+02 | 1e+02 |     10.2 |      0.43 |    0.109 |      10 |  4.8e-05 | -1.3e-05 |  1.4e-06 |
    |   23 | 2e+02 | 2e+02 | 9e+01 | 2e+02 |     10.1 |     -0.51 |     3.27 |    11.8 |  4.9e-05 | -1.7e-05 |  4.1e-05 |
    |   24 | 1e+02 | 1e+02 | 1e+02 | 1e+02 |     10.4 |     -0.78 |    0.156 |    10.8 |  5.1e-05 | -1.9e-05 |  1.9e-06 |
    |   25 | 1e+02 | 7e+01 | 2e+02 | 2e+02 |     9.88 |    -0.163 |    0.222 |    9.97 |  4.8e-05 | -1.5e-05 |  2.8e-06 |
    |   26 | 1e+02 | 1e+02 | 1e+02 | 1e+02 |     10.6 |    -0.459 |    0.064 |    10.8 |  5.2e-05 | -1.7e-05 |    8e-07 |
    |   27 | 1e+02 | 4e+01 | 4e+01 | 7e+01 |     9.82 |   -0.0385 |   0.0972 |    9.84 |  4.7e-05 | -1.4e-05 |  1.2e-06 |
    |   28 | 1e+02 | 1e+01 | 2e+01 | 7e+01 |     9.52 |  -0.00997 |   0.0857 |    9.52 |  4.6e-05 | -1.4e-05 |  1.1e-06 |
    |   29 | 7e+01 | 1e+02 | 5e+01 | 5e+01 |     3.91 |     0.105 |    -1.36 |    4.52 |  1.9e-05 | -5.1e-06 | -1.7e-05 |
    |   30 | 1e+02 | 7e+01 | 3e+01 | 3e+01 |     9.47 |   -0.0994 |   -0.289 |    9.54 |  4.6e-05 | -1.4e-05 | -3.6e-06 |
    |   31 | 7e+01 | 1e+02 | 5e+01 | 5e+01 |      8.4 |    -0.159 |    -0.57 |    8.54 |  4.1e-05 | -1.3e-05 | -7.1e-06 |
    |   32 | 7e+01 | 1e+02 | 3e+01 | 3e+01 |     8.78 |    -0.237 |   -0.672 |    8.98 |  4.3e-05 | -1.4e-05 | -8.4e-06 |
    |   33 | 2e+02 | 1e+02 | 2e+02 | 1e+02 |     18.9 |      2.78 |    0.167 |    17.7 |  8.7e-05 | -1.4e-05 |  2.1e-06 |
    |   34 | 1e+02 | 1e+02 | 1e+02 | 1e+02 |     10.4 |    -0.624 |   -0.159 |    10.8 |  5.1e-05 | -1.8e-05 |   -2e-06 |
    |   35 | 1e+02 | 1e+02 | 1e+02 | 1e+02 |     10.5 |    -0.249 |    -0.24 |    10.7 |  5.1e-05 | -1.6e-05 |   -3e-06 |
    |   36 | 1e+02 | 1e+02 | 1e+02 | 1e+02 |       11 |     -1.21 |      0.3 |    11.7 |  5.5e-05 | -2.2e-05 |  3.8e-06 |
    |   37 | 2e+02 | 1e+02 | 8e+01 | 1e+02 |     17.8 |      3.44 |    0.637 |    16.4 |  8.1e-05 | -9.2e-06 |    8e-06 |
    |   38 | 9e+01 | 1e+02 | 1e+02 | 8e+01 |     18.3 |      3.31 |    -1.93 |    17.2 |  8.3e-05 |   -1e-05 | -2.4e-05 |
    |   39 | 1e+02 | 1e+02 | 2e+02 | 1e+02 |     10.1 |    -0.385 |  -0.0501 |    10.3 |  4.9e-05 | -1.6e-05 | -6.3e-07 |
    |   40 | 5e+01 | 1e+02 | 1e+02 | 5e+01 |     20.6 |      0.43 |   -0.557 |    20.4 |  9.9e-05 | -2.8e-05 |   -7e-06 |
    |   41 | 5e+01 | 1e+02 | 8e+01 | 5e+01 |     20.6 |     0.781 |     1.06 |    20.3 |  9.8e-05 | -2.6e-05 |  1.3e-05 |
    |   42 | 1e+02 | 2e+01 |     4 | 8e+01 |     23.3 |      2.29 |    -3.24 |    22.9 |  0.00011 | -2.3e-05 |   -4e-05 |
    |   43 | 2e+01 | 1e+02 | 8e+01 | 2e+01 |     20.6 |     0.461 |   -0.434 |    20.4 |  9.8e-05 | -2.8e-05 | -5.4e-06 |
    |   44 | 1e+02 | 5e+01 | 1e+01 | 8e+01 |     24.8 |      2.43 |    -3.63 |    24.5 |  0.00012 | -2.4e-05 | -4.5e-05 |
    |   45 | 1e+02 | 1e+02 | 1e+02 | 1e+02 |     11.1 |     -1.04 |     0.11 |    11.7 |  5.5e-05 | -2.1e-05 |  1.4e-06 |
    |   46 | 3e+01 | 1e+02 | 2e+02 | 7e+01 |     8.73 |     -0.41 |    -1.26 |     9.2 |  4.3e-05 | -1.5e-05 | -1.6e-05 |
    |   47 | 8e+01 | 1e+02 | 3e+01 | 3e+01 |     9.83 |   -0.0509 |   -0.105 |    9.86 |  4.7e-05 | -1.4e-05 | -1.3e-06 |
    |   48 | 2e+02 | 2e+02 | 2e+02 | 1e+02 |       10 |     -0.15 |  -0.0744 |    10.1 |  4.8e-05 | -1.5e-05 | -9.3e-07 |
    |   49 | 1e+02 | 1e+02 | 1e+02 | 1e+02 |     12.1 |     -1.73 |   -0.519 |    13.1 |  6.1e-05 | -2.6e-05 | -6.5e-06 |
    |   50 | 2e+02 | 1e+02 | 2e+02 | 7e+01 |     9.19 |    -0.741 |     1.73 |      10 |  4.5e-05 | -1.7e-05 |  2.2e-05 |
    |   51 | 7e+01 | 2e+01 | 2e+01 | 1e+02 |     7.07 |    -0.383 |     1.25 |    7.58 |  3.5e-05 | -1.2e-05 |  1.6e-05 |
    |   52 | 2e+02 | 1e+02 | 2e+02 | 1e+02 |     10.6 |      -1.2 |    -1.05 |    11.4 |  5.3e-05 | -2.1e-05 | -1.3e-05 |
    |   53 | 2e+01 | 7e+01 | 2e+02 | 2e+01 |     8.45 |    -0.166 |     0.59 |    8.59 |  4.1e-05 | -1.3e-05 |  7.4e-06 |
    |   54 | 5e+01 | 8e+01 | 8e+01 |     9 |     22.2 |      4.13 |     3.77 |    21.5 |   0.0001 | -1.2e-05 |  4.7e-05 |
    |   55 | 9e+01 | 8e+01 | 1e+01 | 8e+01 |     17.7 |      4.67 |    -2.63 |    16.5 |  7.8e-05 |   -3e-06 | -3.3e-05 |
    |   56 | 2e+02 | 1e+02 | 2e+02 | 1e+02 |     19.3 |      2.77 |    0.012 |    18.1 |  8.9e-05 | -1.5e-05 |  1.5e-07 |
    |   57 | 1e+02 | 1e+02 | 1e+02 | 1e+02 |     11.9 |     -1.69 |    0.591 |    12.9 |    6e-05 | -2.5e-05 |  7.4e-06 |
    |   58 | 2e+02 | 7e+01 | 2e+02 | 1e+02 |     9.51 |    -0.517 |     1.02 |    9.93 |  4.6e-05 | -1.6e-05 |  1.3e-05 |
    |   59 | 4e+01 | 9e+01 | 2e+02 | 4e+01 |      4.6 |   -0.0432 |     1.62 |     5.4 |  2.2e-05 | -6.8e-06 |    2e-05 |
    |   60 | 8e+01 | 1e+02 | 1e+02 | 8e+01 |     16.7 |      2.79 |     1.03 |    15.6 |  7.6e-05 | -1.1e-05 |  1.3e-05 |
    |   61 | 1e+02 | 1e+02 | 2e+02 | 1e+02 |     10.7 |    -0.963 |    0.611 |    11.2 |  5.3e-05 |   -2e-05 |  7.6e-06 |
    |   62 | 7e+01 | 1e+02 | 2e+02 | 1e+02 |     9.53 |    -0.706 |    -1.17 |    10.1 |  4.7e-05 | -1.7e-05 | -1.5e-05 |
    |   63 | 1e+02 | 2e+02 | 1e+02 | 1e+02 |     11.1 |     -1.33 |   -0.462 |    11.8 |  5.5e-05 | -2.2e-05 | -5.8e-06 |
    |   64 | 9e+01 | 9e+01 | 1e+02 | 9e+01 |     14.9 |    -0.722 |    0.395 |    15.3 |  7.3e-05 | -2.5e-05 |  4.9e-06 |
    |   65 | 7e+01 | 2e+01 | 2e+01 | 2e+02 |     9.17 |    -0.107 |    0.223 |    9.23 |  4.4e-05 | -1.4e-05 |  2.8e-06 |
    |   66 | 1e+02 | 1e+02 | 2e+02 | 1e+02 |     11.7 |     -1.49 |    0.534 |    12.6 |  5.8e-05 | -2.4e-05 |  6.7e-06 |
    |   67 | 1e+02 | 1e+02 | 1e+02 | 1e+02 |     13.2 |     -1.68 |    0.843 |    14.2 |  6.6e-05 | -2.7e-05 |  1.1e-05 |
    |   68 | 1e+02 | 1e+02 | 2e+02 | 1e+02 |       12 |     -1.65 |     1.25 |      13 |    6e-05 | -2.5e-05 |  1.6e-05 |
    |   69 | 1e+02 | 9e+01 | 9e+01 | 9e+01 |     16.2 |      2.06 |    0.165 |    15.3 |  7.5e-05 | -1.4e-05 |  2.1e-06 |
    |   70 | 1e+02 | 2e+02 | 2e+02 | 9e+01 |     14.6 |    -0.199 |     2.01 |    15.1 |    7e-05 | -2.2e-05 |  2.5e-05 |
    |   71 | 9e+01 | 8e+01 | 9e+01 | 9e+01 |     15.7 |     0.833 |    -1.25 |    15.4 |  7.4e-05 | -1.9e-05 | -1.6e-05 |
    |   72 | 1e+02 | 2e+02 | 2e+02 | 1e+02 |     10.4 |    -0.861 |   -0.416 |    10.9 |  5.1e-05 | -1.9e-05 | -5.2e-06 |
    |   73 | 9e+01 | 9e+01 | 1e+02 | 9e+01 |     14.2 |     -0.52 |    -2.15 |    14.9 |  6.9e-05 | -2.3e-05 | -2.7e-05 |
    |   74 | 8e+01 | 1e+01 | 5e+01 | 1e+02 |     10.4 |      3.71 |    -4.83 |    12.4 |  4.5e-05 |  2.8e-06 |   -6e-05 |
    |   75 | 5e+01 | 6e+01 | 2e+02 | 7e+01 |     9.21 |    -0.105 |   -0.247 |    9.27 |  4.4e-05 | -1.4e-05 | -3.1e-06 |
    |   76 | 1e+02 | 1e+02 | 1e+02 | 1e+02 |     14.7 |    -0.982 |        1 |    15.3 |  7.2e-05 | -2.6e-05 |  1.3e-05 |
    |   77 | 1e+02 | 2e+02 | 1e+01 | 5e+01 |    0.958 |     0.452 |   -0.472 |    1.17 |    4e-06 |  7.9e-07 | -5.9e-06 |
    |   78 | 6e+01 | 8e+01 | 2e+02 | 6e+01 |     9.52 |      2.41 |    0.588 |    8.63 |  4.2e-05 | -2.1e-06 |  7.3e-06 |
    |   79 | 4e+01 | 4e+01 | 8e+01 | 2e+02 |       10 |   -0.0807 |   0.0128 |      10 |  4.8e-05 | -1.5e-05 |  1.6e-07 |
    |   80 | 2e+02 | 8e+01 | 2e+02 | 1e+02 |     19.3 |      3.27 |     1.54 |    18.1 |  8.8e-05 | -1.2e-05 |  1.9e-05 |
    |   81 | 3e+01 | 4e+01 | 2e+02 | 6e+01 |       10 |   -0.0775 |  -0.0058 |      10 |  4.8e-05 | -1.5e-05 | -7.3e-08 |
    |   82 | 6e+01 | 2e+02 | 7e+01 | 6e+01 |     9.46 |      2.31 |      0.2 |    8.55 |  4.2e-05 | -2.5e-06 |  2.5e-06 |
    |   83 | 1e+02 | 1e+02 | 2e+02 | 1e+02 |     12.2 |     -1.77 |    -0.25 |    13.2 |  6.1e-05 | -2.6e-05 | -3.1e-06 |
    |   84 | 6e+01 | 7e+01 | 2e+02 | 6e+01 |     9.48 |       2.3 |   -0.232 |    8.57 |  4.2e-05 | -2.6e-06 | -2.9e-06 |
    |   85 | 4e+01 | 7e+01 | 2e+02 | 4e+01 |     8.52 |    -0.124 |    0.546 |    8.64 |  4.1e-05 | -1.3e-05 |  6.8e-06 |
    |   86 | 2e+02 | 9e+01 | 2e+02 | 1e+02 |     12.4 |     -1.29 |    -2.11 |    13.6 |  6.2e-05 | -2.4e-05 | -2.6e-05 |
    |   87 | 4e+01 | 4e+01 | 2e+02 | 8e+01 |       10 |   -0.0497 |    0.022 |      10 |  4.8e-05 | -1.5e-05 |  2.7e-07 |
    |   88 | 2e+01 | 2e+01 | 2e+02 | 8e+01 |     3.62 |     0.314 |     1.65 |     4.5 |  1.7e-05 | -3.7e-06 |  2.1e-05 |
    |   89 | 1e+02 | 2e+02 | 2e+02 | 2e+02 |     10.2 |     0.434 |    0.415 |      10 |  4.8e-05 | -1.3e-05 |  5.2e-06 |
    |   90 | 2e+02 | 8e+01 | 2e+02 | 2e+02 |     8.53 |     0.409 |     3.91 |    10.7 |    4e-05 |   -1e-05 |  4.9e-05 |
