
    -------------------------------------------------------------
    -------------- Model input ----------------------------------
    -------------------------------------------------------------

    Model parameters:

    +-------------+---------+
    | Parameter   |   Value |
    |-------------+---------|
    | w [m]       |     0.1 |
    | h [m]       |     0.1 |
    | a [m]       |    0.01 |
    | b [m]       |    0.01 |
    | x [m]       |    0.01 |
    | y [m]       |    0.01 |
    | t [m]       |       1 |
    | kx [W/mC]   |     1.7 |
    | ky [W/mC]   |     1.7 |
    +-------------+---------+

    Model boundary conditions:

    +----------+---------------+
    |   Marker |   Temperature |
    |----------+---------------|
    |       10 |            20 |
    |       20 |            20 |
    |       30 |            20 |
    |       40 |            20 |
    |      110 |           120 |
    |      120 |           120 |
    |      130 |           120 |
    |      140 |           120 |
    +----------+---------------+

    -------------------------------------------------------------
    -------------- Results --------------------------------------
    -------------------------------------------------------------

    Model info:

    +---------------------+------+
    | Max element size:   | 0.05 |
    | Dofs per node:      |    1 |
    | Element type:       |    3 |
    | Number of dofs:     |  357 |
    | Number of elements: |  321 |
    | Number of nodes:    |  357 |
    +---------------------+------+

    Summary of results:

    +--------------------------+-----------+--------+
    | Max Temperature:         |   120.000 | [C]    |
    | Min Temperature:         |    20.000 | [C]    |
    | Max boundary heat power: |   158.823 | [W/m]  |
    | Min boundary heat power: |   -96.880 | [W/m]  |
    | Sum boundary heat power: |     0.000 | [W/m]  |
    | Max resulting heat flux: | 27267.602 | [W/m2] |
    | Min resulting heat flux: |     4.625 | [W/m2] |
    +--------------------------+-----------+--------+

    Results per node:

    +-----+-------+-----------+------------+-------+--------------+
    |   N |   dof |   x_coord |    y_coord |     T |   Heat power |
    |     |       |       [m] |        [m] |   [C] |        [W/m] |
    |-----+-------+-----------+------------+-------+--------------|
    | 229 |   229 |   0.03258 |    0.05745 |  43.5 |    -5.68e-14 |
    | 230 |   230 |   0.03283 |    0.06339 |  44.3 |     4.26e-14 |
    | 231 |   231 |   0.03773 |    0.05257 |  37.9 |    -1.42e-14 |
    | 232 |   232 |   0.02113 |    0.06509 |    51 |            0 |
    | 233 |   233 |   0.03571 |     0.0946 |  34.4 |            0 |
    | 234 |   234 |   0.03929 |    0.08911 |    40 |    -7.11e-15 |
    | 235 |   235 |   0.01661 |    0.06992 |  69.3 |            0 |
    | 236 |   236 |   0.04716 |    0.09251 |  28.7 |            0 |
    | 237 |   237 |    0.0325 |    0.02501 |  24.5 |    -1.07e-14 |
    | 238 |   238 |   0.06321 |    0.04923 |  28.2 |            0 |
    | 239 |   239 |   0.05817 |    0.05078 |  28.3 |     1.42e-14 |
    | 240 |   240 |   0.06367 |    0.06099 |  29.3 |     5.68e-14 |
    | 241 |   241 |   0.05845 |    0.06226 |  29.8 |     2.84e-14 |
    | 242 |   242 |   0.05763 |    0.04551 |  29.1 |     7.11e-15 |
    | 243 |   243 |   0.00567 |    0.03697 |  22.9 |     2.84e-14 |
    | 244 |   244 |   0.07939 |    0.01202 |  21.1 |     2.13e-14 |
    | 245 |   245 |  0.005569 |    0.02442 |  21.4 |    -3.55e-15 |
    | 246 |   246 |   0.01111 |    0.02401 |    22 |     2.66e-14 |
    | 247 |   247 |   0.04753 |     0.0057 |  21.1 |    -4.11e-15 |
    | 248 |   248 |   0.09514 |    0.04599 |  20.7 |    -1.42e-14 |
    | 249 |   249 |   0.08983 |    0.04922 |  21.6 |            0 |
    | 250 |   250 |   0.09114 |    0.04269 |  21.5 |    -1.78e-15 |
    | 251 |   251 |   0.08953 |    0.05531 |  22.1 |    -1.42e-14 |
    | 252 |   252 |   0.08429 |    0.05398 |  22.7 |     3.55e-14 |
    | 253 |   253 |   0.08409 |    0.06013 |  23.3 |            0 |
    | 254 |   254 |   0.08933 |    0.06151 |  21.8 |    -4.26e-14 |
    | 255 |   255 |   0.09516 |     0.0406 |  20.7 |            0 |
    | 256 |   256 |   0.08992 |    0.03618 |  21.3 |    -2.13e-14 |
    | 257 |   257 |    0.0895 |    0.03209 |  21.4 |            0 |
    | 258 |   258 |   0.08501 |    0.03545 |  22.2 |    -1.42e-14 |
    | 259 |   259 |   0.08475 |    0.04145 |  22.2 |     7.11e-15 |
    | 260 |   260 |   0.06213 |   0.005834 |  20.9 |    -1.42e-14 |
    | 261 |   261 |   0.06837 |   0.005706 |  20.6 |     1.42e-14 |
    | 262 |   262 |   0.03746 |    0.06439 |  45.5 |     5.68e-14 |
    | 263 |   263 |   0.04151 |   0.005461 |  20.9 |     2.13e-14 |
    | 264 |   264 |   0.09317 |    0.02966 |  20.7 |    -2.84e-14 |
    | 265 |   265 |    0.0876 |    0.02564 |  21.4 |     3.55e-15 |
    | 266 |   266 |   0.07678 |    0.09447 |  21.2 |    -4.26e-14 |
    | 267 |   267 |   0.09439 |    0.07528 |  20.9 |    -1.42e-14 |
    | 268 |   268 |   0.09465 |    0.06228 |  21.1 |    -7.11e-15 |
    | 269 |   269 |   0.08845 |    0.09429 |  20.6 |     5.33e-15 |
    | 270 |   270 |   0.09477 |    0.05602 |  20.9 |     2.13e-14 |
    | 271 |   271 |   0.08889 |    0.06784 |  22.2 |    -1.42e-14 |
    | 272 |   272 |   0.05312 |    0.02914 |  25.9 |    -3.55e-14 |
    | 273 |   273 |   0.05835 |    0.05636 |  30.9 |     2.84e-14 |
    | 274 |   274 |   0.04167 |    0.02579 |  24.7 |     7.11e-15 |
    | 275 |   275 |   0.05322 |     0.0512 |  31.8 |    -2.84e-14 |
    | 276 |   276 |   0.07402 |    0.01156 |    21 |     1.78e-14 |
    | 277 |   277 |   0.06813 |    0.02793 |  23.2 |     2.13e-14 |
    | 278 |   278 |   0.05326 |    0.04616 |  28.6 |            0 |
    | 279 |   279 |   0.05789 |    0.01724 |  22.5 |    -2.84e-14 |
    | 280 |   280 |   0.02781 |     0.0639 |  53.8 |    -5.68e-14 |
    | 281 |   281 |   0.02275 |    0.01147 |  21.5 |    -2.13e-14 |
    | 282 |   282 |  0.004773 |    0.08104 |  57.9 |     2.66e-14 |
    | 283 |   283 |   0.01921 |    0.09491 |  59.9 |    -7.11e-15 |
    | 284 |   284 |   0.03794 |    0.04649 |  31.6 |     1.42e-14 |
    | 285 |   285 |   0.07354 |    0.08511 |  23.2 |    -3.95e-14 |
    | 286 |   286 |   0.06584 |    0.03556 |  24.4 |    -1.42e-14 |
    | 287 |   287 |   0.07755 |    0.06965 |    24 |    -7.11e-15 |
    | 288 |   288 |   0.04913 |     0.0338 |  26.2 |    -1.42e-14 |
    | 289 |   289 |    0.0274 |    0.03713 |  29.8 |     2.13e-14 |
    | 290 |   290 |     0.043 |    0.08483 |  39.5 |    -1.42e-14 |
    | 291 |   291 |   0.01117 |     0.0303 |  23.8 |     2.13e-14 |
    | 292 |   292 |   0.01125 |    0.04952 |  28.7 |    -7.11e-15 |
    | 293 |   293 |   0.02453 |    0.08951 |  73.3 |     1.42e-14 |
    | 294 |   294 |   0.05322 |     0.0626 |  34.3 |    -4.26e-14 |
    | 295 |   295 |   0.02739 |     0.0307 |  25.7 |     1.78e-14 |
    | 296 |   296 |   0.07227 |    0.03225 |  23.9 |     1.42e-14 |
    | 297 |   297 |   0.04278 |    0.07949 |  39.8 |     2.13e-14 |
    | 298 |   298 |   0.04809 |    0.02737 |  24.8 |    -1.62e-14 |
    | 299 |   299 |   0.03254 |    0.05123 |  34.9 |     2.84e-14 |
    | 300 |   300 |   0.06402 |    0.07286 |  28.8 |     1.07e-14 |
    | 301 |   301 |  0.004499 |    0.07728 |  57.1 |    -1.14e-13 |
    | 302 |   302 |   0.02353 |    0.07239 |  75.3 |     4.26e-14 |
    | 303 |   303 |   0.03823 |    0.02796 |  26.7 |    -3.91e-14 |
    | 304 |   304 |   0.03383 |    0.08382 |  57.1 |     7.11e-14 |
    | 305 |   305 |  0.004914 |    0.08633 |  70.2 |    -2.84e-14 |
    | 306 |   306 |  0.004662 |    0.09187 |  44.1 |    -5.68e-14 |
    | 307 |   307 |   0.01375 |    0.09509 |  70.1 |            0 |
    | 308 |   308 |    0.0247 |    0.09478 |  56.9 |     1.99e-13 |
    | 309 |   309 |    0.0585 |    0.08028 |  29.9 |    -1.42e-14 |
    | 310 |   310 |   0.03319 |    0.06757 |  52.2 |    -2.66e-14 |
    | 311 |   311 |  0.005652 |    0.01203 |  20.6 |            0 |
    | 312 |   312 |   0.09453 |    0.08801 |  20.5 |     4.26e-14 |
    | 313 |   313 |   0.09077 |   0.005394 |  20.2 |     1.87e-14 |
    | 314 |   314 |   0.05974 |    0.09249 |  24.1 |      1.6e-14 |
    | 315 |   315 |   0.04289 |    0.08864 |  33.5 |    -4.26e-14 |
    | 316 |   316 |   0.03934 |    0.02143 |  24.8 |     3.55e-15 |
    | 317 |   317 |   0.03449 |     0.0892 |  43.6 |     2.13e-14 |
    | 318 |   318 |    0.0585 |    0.06802 |  31.7 |    -2.26e-14 |
    | 319 |   319 |   0.03872 |    0.01644 |  22.8 |    -3.55e-14 |
    | 320 |   320 |   0.05345 |    0.08664 |  29.8 |            0 |
    | 321 |   321 |    0.0877 |    0.07531 |  21.8 |    -2.13e-14 |
    | 322 |   322 |   0.06837 |    0.01146 |  21.6 |    -1.42e-14 |
    | 323 |   323 |   0.08901 |    0.08239 |  21.5 |     1.07e-14 |
    | 324 |   324 |   0.08897 |     0.0884 |  20.9 |    -3.55e-15 |
    | 325 |   325 |   0.03977 |    0.01098 |  22.3 |    -2.13e-14 |
    | 326 |   326 |   0.07895 |    0.05894 |  23.8 |    -7.11e-15 |
    | 327 |   327 |   0.07903 |    0.05297 |  24.3 |     7.11e-15 |
    | 328 |   328 |   0.08451 |    0.04779 |  22.9 |     7.11e-15 |
    | 329 |   329 |   0.08349 |    0.06617 |  22.9 |    -1.42e-14 |
    | 330 |   330 |   0.07904 |    0.04039 |  23.5 |     3.64e-14 |
    | 331 |   331 |   0.07949 |    0.03394 |  22.5 |     1.07e-14 |
    | 332 |   332 |   0.09465 |    0.01687 |  20.3 |    -1.42e-14 |
    | 333 |   333 |   0.05718 |    0.01128 |  22.1 |     2.84e-14 |
    | 334 |   334 |   0.01777 |   0.005701 |  20.6 |     4.97e-14 |
    | 335 |   335 |   0.05026 |    0.01212 |  22.4 |     2.13e-14 |
    | 336 |   336 |   0.02968 |     0.0056 |  20.8 |     2.13e-14 |
    | 337 |   337 |   0.08597 |    0.03039 |  21.5 |     7.11e-15 |
    | 338 |   338 |   0.08009 |   0.006212 |  20.4 |    -3.55e-15 |
    | 339 |   339 |   0.07283 |    0.08889 |    23 |    -1.42e-14 |
    | 340 |   340 |   0.06629 |    0.09296 |  22.9 |     7.11e-15 |
    | 341 |   341 |   0.08955 |   0.009489 |  20.4 |     7.11e-15 |
    | 342 |   342 |   0.08281 |    0.02322 |  21.4 |    -7.11e-15 |
    | 343 |   343 |   0.03851 |    0.08412 |  42.5 |     1.78e-14 |
    | 344 |   344 |   0.01381 |    0.07326 |  71.7 |     5.68e-14 |
    | 345 |   345 |   0.08885 |     0.0205 |  20.8 |    -3.55e-14 |
    | 346 |   346 |   0.09419 |    0.09402 |  20.2 |    -7.11e-15 |
    | 347 |   347 |    0.0059 |   0.005987 |  20.2 |     3.55e-15 |
    | 348 |   348 |   0.09465 |   0.005619 |  20.1 |     1.07e-14 |
    | 349 |   349 |  0.008411 |    0.09546 |  44.4 |     5.68e-14 |
    | 350 |   350 |   0.02951 |    0.08926 |  62.3 |     9.95e-14 |
    | 351 |   351 |   0.08335 |    0.08867 |  21.6 |    -2.84e-14 |
    | 352 |   352 |   0.01027 |     0.0704 |    61 |     1.64e-14 |
    | 353 |   353 |   0.01607 |    0.07565 |  95.8 |            0 |
    | 354 |   354 |   0.00813 |     0.0751 |  60.1 |    -7.11e-14 |
    | 355 |   355 |  0.004699 |     0.0954 |  36.8 |     8.53e-14 |
    | 356 |   356 |   0.04536 |     0.0112 |  21.8 |     1.42e-14 |
    | 357 |   357 |  0.009755 |    0.06467 |    47 |     -1.6e-14 |
    +-----+-------+-----------+------------+-------+--------------+

    Results per element:

    +------+-----+-----+-----+-----+----------+----------+----------+---------+----------+
    |   El |   N |   N |   N |   N |       qx |       qy |    q_res |   dT/dx |    dT/dy |
    |   Nb |   1 |   2 |   3 |   4 |   [W/m2] |   [W/m2] |   [W/m2] |   [C/m] |    [C/m] |
    |------+-----+-----+-----+-----+----------+----------+----------+---------+----------|
    |    1 | 276 |  81 | 338 | 244 |     40.5 |   -146.8 |    207.6 |   -23.8 |     86.3 |
    |    2 | 201 | 235 | 232 | 302 |    255.3 |  -4835.1 |   6837.9 |  -150.2 |   2844.2 |
    |    3 | 320 | 221 | 314 |  76 |    669.8 |    927.0 |   1311.0 |  -394.0 |   -545.3 |
    |    4 | 225 | 190 | 334 | 226 |   -118.0 |   -201.0 |    284.3 |    69.4 |    118.2 |
    |    5 | 209 | 116 | 227 | 208 |  -2315.7 |  -1235.9 |   1747.8 |  1362.2 |    727.0 |
    |    6 | 213 | 224 | 336 |  77 |     11.9 |   -303.7 |    429.5 |    -7.0 |    178.7 |
    |    7 | 189 | 320 |  76 | 236 |    755.9 |   1131.5 |   1600.2 |  -444.7 |   -665.6 |
    |    8 | 150 | 328 | 252 | 327 |    347.3 |    -90.9 |    128.6 |  -204.3 |     53.5 |
    |    9 | 307 | 283 |  51 |  52 |   1716.1 |  15589.4 |  22046.8 | -1009.5 |  -9170.3 |
    |   10 | 305 |  55 |  56 | 282 | -15701.7 |  -1616.0 |   2285.4 |  9236.3 |    950.6 |
    |   11 | 331 | 199 | 337 | 258 |    203.5 |    -91.9 |    129.9 |  -119.7 |     54.0 |
    |   12 |  44 | 314 | 220 | 340 |    257.7 |    679.8 |    961.4 |  -151.6 |   -399.9 |
    |   13 | 305 | 306 |  54 |  55 | -12071.1 |   3509.1 |   4962.6 |  7100.6 |  -2064.2 |
    |   14 | 304 | 343 | 234 | 317 |   3197.3 |   2180.8 |   3084.2 | -1880.8 |  -1282.8 |
    |   15 |  62 |  63 | 243 | 222 |   -914.5 |    -48.9 |     69.1 |   537.9 |     28.8 |
    |   16 | 266 | 207 | 351 | 156 |    127.5 |    259.1 |    366.4 |   -75.0 |   -152.4 |
    |   17 | 280 | 105 | 302 | 232 |   1630.3 |  -3479.3 |   4920.5 |  -959.0 |   2046.7 |
    |   18 | 344 | 235 | 201 | 353 |   -321.3 |  -7874.8 |  11136.7 |   189.0 |   4632.2 |
    |   19 | 222 | 212 | 292 |  75 |  -1088.6 |   -514.4 |    727.5 |   640.4 |    302.6 |
    |   20 | 329 | 271 | 321 | 188 |    341.6 |     38.7 |     54.8 |  -200.9 |    -22.8 |
    |   21 | 335 |  73 | 333 | 214 |     49.2 |   -255.9 |    361.9 |   -28.9 |    150.5 |
    |   22 |  60 |  61 |  75 | 227 |  -1927.5 |   -149.6 |    211.6 |  1133.8 |     88.0 |
    |   23 | 230 | 310 | 105 | 280 |   1649.5 |  -1652.3 |   2336.7 |  -970.3 |    971.9 |
    |   24 | 259 | 330 | 331 | 258 |    270.9 |   -123.8 |    175.0 |  -159.4 |     72.8 |
    |   25 | 166 | 292 | 212 | 162 |   -968.1 |   -995.8 |   1408.3 |   569.5 |    585.8 |
    |   26 |  63 |  64 |  80 | 243 |   -681.1 |   -173.3 |    245.2 |   400.7 |    102.0 |
    |   27 | 221 | 309 | 215 | 216 |    664.6 |    572.0 |    809.0 |  -390.9 |   -336.5 |
    |   28 | 260 | 261 | 322 | 196 |     24.8 |   -218.3 |    308.7 |   -14.6 |    128.4 |
    |   29 | 253 | 326 | 327 | 252 |    356.3 |     -7.7 |     10.9 |  -209.6 |      4.5 |
    |   30 |  57 | 301 | 282 |  56 | -13817.7 |    240.6 |    340.2 |  8128.0 |   -141.5 |
    |   31 | 332 | 218 | 341 | 191 |     91.4 |    -54.7 |     77.3 |   -53.7 |     32.2 |
    |   32 |  50 |  51 | 283 | 308 |    573.2 |  12673.2 |  17922.5 |  -337.1 |  -7454.8 |
    |   33 | 188 | 287 | 149 | 329 |    377.8 |     82.3 |    116.3 |  -222.2 |    -48.4 |
    |   34 | 229 | 147 | 262 | 230 |    974.8 |  -1184.2 |   1674.8 |  -573.4 |    696.6 |
    |   35 | 223 | 136 | 311 | 225 |   -212.3 |   -155.3 |    219.6 |   124.9 |     91.3 |
    |   36 | 300 | 215 | 309 | 193 |    680.4 |    257.0 |    363.4 |  -400.2 |   -151.2 |
    |   37 | 290 | 315 | 234 | 343 |   1940.3 |   1494.4 |   2113.5 | -1141.4 |   -879.1 |
    |   38 | 119 | 345 | 218 | 332 |    115.0 |    -45.4 |     64.3 |   -67.7 |     26.7 |
    |   39 | 232 | 210 | 167 | 165 |   -465.2 |  -2440.6 |   3451.5 |   273.6 |   1435.6 |
    |   40 | 228 | 206 |  57 |  58 |  -7625.8 |  -1962.5 |   2775.3 |  4485.8 |   1154.4 |
    |   41 | 273 | 241 | 294 | 101 |    727.1 |   -323.1 |    457.0 |  -427.7 |    190.1 |
    |   42 |  92 | 262 | 147 |  95 |   1177.1 |   -913.3 |   1291.6 |  -692.4 |    537.2 |
    |   43 |  65 |  66 | 136 | 245 |   -337.0 |    -94.4 |    133.5 |   198.2 |     55.5 |
    |   44 | 101 | 275 | 239 | 273 |    572.4 |   -286.3 |    404.8 |  -336.7 |    168.4 |
    |   45 | 122 | 284 | 231 | 299 |    182.6 |   -965.1 |   1364.8 |  -107.4 |    567.7 |
    |   46 |  97 | 231 | 284 |  99 |    547.6 |   -857.8 |   1213.0 |  -322.1 |    504.6 |
    |   47 | 232 | 235 | 211 | 210 |  -1111.2 |  -4131.9 |   5843.4 |   653.7 |   2430.5 |
    |   48 | 184 | 300 | 193 | 318 |    764.9 |    162.7 |    230.0 |  -449.9 |    -95.7 |
    |   49 | 328 | 150 | 330 | 259 |    288.6 |    -72.2 |    102.1 |  -169.8 |     42.5 |
    |   50 | 116 | 228 |  58 |  59 |  -4122.8 |   -218.9 |    309.5 |  2425.2 |    128.7 |
    |   51 | 242 | 239 | 275 | 278 |    486.2 |   -431.4 |    610.1 |  -286.0 |    253.8 |
    |   52 | 115 | 295 | 175 | 237 |   -168.0 |   -501.1 |    708.7 |    98.8 |    294.8 |
    |   53 |  79 | 271 | 254 | 268 |    321.0 |     -6.8 |      9.6 |  -188.8 |      4.0 |
    |   54 |  28 | 264 | 119 |  27 |    174.4 |     -7.1 |     10.0 |  -102.6 |      4.2 |
    |   55 | 236 |  76 |  45 |  46 |    466.5 |   1404.3 |   1986.0 |  -274.4 |   -826.1 |
    |   56 | 241 | 273 | 168 | 240 |    621.9 |   -121.0 |    171.1 |  -365.8 |     71.2 |
    |   57 | 222 |  75 |  61 |  62 |  -1388.4 |   -360.4 |    509.6 |   816.7 |    212.0 |
    |   58 | 280 | 182 | 229 | 230 |    981.5 |  -1998.5 |   2826.3 |  -577.4 |   1175.6 |
    |   59 | 309 | 221 | 320 | 186 |    770.3 |    634.8 |    897.7 |  -453.1 |   -373.4 |
    |   60 | 172 | 170 | 291 | 246 |   -309.5 |   -274.2 |    387.8 |   182.1 |    161.3 |
    |   61 | 291 |  80 | 245 | 246 |   -451.4 |   -253.7 |    358.7 |   265.5 |    149.2 |
    |   62 |  75 | 292 | 208 | 227 |  -1793.0 |  -1138.3 |   1609.7 |  1054.7 |    669.6 |
    |   63 | 233 | 160 |  47 |  48 |    931.7 |   3143.5 |   4445.6 |  -548.1 |  -1849.1 |
    |   64 | 112 | 238 | 239 | 242 |    434.2 |   -251.7 |    355.9 |  -255.4 |    148.0 |
    |   65 | 227 | 116 |  59 |  60 |  -3061.3 |   -793.5 |   1122.2 |  1800.8 |    466.8 |
    |   66 | 203 | 233 |  48 |  49 |    572.1 |   5001.5 |   7073.1 |  -336.5 |  -2942.0 |
    |   67 |  78 |  29 |  30 | 255 |    244.7 |      8.1 |     11.4 |  -143.9 |     -4.7 |
    |   68 | 240 | 168 | 138 | 140 |    509.7 |   -160.6 |    227.1 |  -299.8 |     94.5 |
    |   69 | 160 | 236 |  46 |  47 |    282.2 |   2099.2 |   2968.7 |  -166.0 |  -1234.8 |
    |   70 | 178 | 298 | 123 | 274 |     86.9 |   -465.4 |    658.2 |   -51.1 |    273.8 |
    |   71 | 340 | 219 | 339 |  82 |    259.5 |    431.6 |    610.3 |  -152.6 |   -253.9 |
    |   72 | 140 | 142 | 184 | 240 |    589.5 |      7.0 |      9.9 |  -346.8 |     -4.1 |
    |   73 | 247 |  16 |  17 |  73 |     43.3 |   -276.2 |    390.6 |   -25.5 |    162.5 |
    |   74 | 182 | 165 | 152 | 126 |     -2.2 |  -1573.5 |   2225.3 |     1.3 |    925.6 |
    |   75 | 136 | 223 | 246 | 245 |   -271.0 |   -121.0 |    171.1 |   159.4 |     71.2 |
    |   76 | 258 | 256 | 250 | 259 |    249.4 |    -45.9 |     64.9 |  -146.7 |     27.0 |
    |   77 | 270 | 251 | 249 |  74 |    314.1 |    -42.5 |     60.1 |  -184.8 |     25.0 |
    |   78 | 196 | 333 |  73 | 260 |     70.8 |   -283.8 |    401.4 |   -41.7 |    167.0 |
    |   79 | 281 | 118 | 336 | 224 |    -89.0 |   -296.5 |    419.3 |    52.3 |    174.4 |
    |   80 | 268 | 254 | 251 | 270 |    316.6 |     16.5 |     23.3 |  -186.2 |     -9.7 |
    |   81 | 107 | 242 | 278 | 104 |    375.9 |   -341.7 |    483.3 |  -221.1 |    201.0 |
    |   82 | 121 | 138 | 168 | 238 |    459.4 |   -148.6 |    210.1 |  -270.2 |     87.4 |
    |   83 |  74 | 248 |  30 |  31 |    281.8 |    -30.6 |     43.3 |  -165.7 |     18.0 |
    |   84 |  16 | 247 | 263 |  15 |    -31.0 |   -321.9 |    455.2 |    18.2 |    189.3 |
    |   85 |  74 | 249 | 250 | 248 |    275.4 |    -10.6 |     15.0 |  -162.0 |      6.2 |
    |   86 | 284 | 122 | 114 | 109 |    197.3 |   -781.0 |   1104.6 |  -116.0 |    459.4 |
    |   87 | 314 | 221 | 216 | 220 |    357.3 |    713.2 |   1008.7 |  -210.2 |   -419.5 |
    |   88 | 260 |  18 |  19 | 261 |     42.3 |   -224.9 |    318.1 |   -24.9 |    132.3 |
    |   89 |  79 | 268 |  33 |  34 |    304.2 |     27.2 |     38.5 |  -178.9 |    -16.0 |
    |   90 |  73 |  17 |  18 | 260 |    -11.6 |   -261.2 |    369.4 |     6.8 |    153.6 |
    |   91 |  77 |  14 |  15 | 263 |     35.1 |   -299.5 |    423.6 |   -20.7 |    176.2 |
    |   92 |  43 |  82 | 266 |  42 |     35.2 |    426.3 |    602.8 |   -20.7 |   -250.8 |
    |   93 | 264 |  28 |  29 |  78 |    220.6 |    -36.0 |     50.9 |  -129.8 |     21.2 |
    |   94 | 245 |  80 |  64 |  65 |   -453.2 |    -16.4 |     23.2 |   266.6 |      9.7 |
    |   95 |  31 |  32 | 270 |  74 |    301.7 |     16.2 |     22.9 |  -177.5 |     -9.5 |
    |   96 | 256 | 257 | 264 |  78 |    228.5 |    -30.3 |     42.8 |  -134.4 |     17.8 |
    |   97 | 267 |  79 |  34 |  35 |    276.8 |     -3.3 |      4.6 |  -162.8 |      1.9 |
    |   98 | 167 | 166 | 152 | 165 |   -771.6 |  -1677.4 |   2372.2 |   453.9 |    986.7 |
    |   99 | 329 | 149 | 326 | 253 |    382.3 |    -19.2 |     27.2 |  -224.9 |     11.3 |
    |  100 | 269 |  40 |  41 | 156 |     25.8 |    199.4 |    282.0 |   -15.2 |   -117.3 |
    |  101 | 261 |  19 |  20 |  81 |     -4.2 |   -186.3 |    263.4 |     2.4 |    109.6 |
    |  102 | 156 |  41 |  42 | 266 |     70.0 |    318.7 |    450.7 |   -41.2 |   -187.5 |
    |  103 | 237 | 175 | 183 | 204 |    -25.1 |   -392.5 |    555.1 |    14.8 |    230.9 |
    |  104 | 124 | 267 |  35 |  36 |    242.6 |     35.7 |     50.5 |  -142.7 |    -21.0 |
    |  105 | 231 |  97 |  95 | 147 |    687.1 |   -841.9 |   1190.6 |  -404.2 |    495.2 |
    |  106 | 281 | 226 | 334 | 118 |    -38.4 |   -229.2 |    324.2 |    22.6 |    134.8 |
    |  107 | 232 | 165 | 182 | 280 |    -54.1 |  -2369.5 |   3350.9 |    31.8 |   1393.8 |
    |  108 | 140 | 138 | 129 | 139 |    453.2 |    -53.4 |     75.5 |  -266.6 |     31.4 |
    |  109 | 117 | 134 | 159 | 277 |    189.7 |   -267.8 |    378.8 |  -111.6 |    157.6 |
    |  110 | 238 | 168 | 273 | 239 |    518.9 |   -295.1 |    417.3 |  -305.3 |    173.6 |
    |  111 | 238 | 112 | 120 | 121 |    376.5 |   -270.9 |    383.1 |  -221.4 |    159.4 |
    |  112 | 242 | 107 | 111 | 112 |    345.0 |   -376.1 |    531.9 |  -202.9 |    221.2 |
    |  113 |  78 | 255 | 250 | 256 |    242.0 |    -59.5 |     84.2 |  -142.4 |     35.0 |
    |  114 | 268 | 270 |  32 |  33 |    311.3 |    -22.8 |     32.3 |  -183.1 |     13.4 |
    |  115 | 152 | 151 | 125 | 126 |   -368.8 |  -1123.2 |   1588.5 |   216.9 |    660.7 |
    |  116 | 171 | 173 | 183 | 175 |   -185.6 |   -380.3 |    537.8 |   109.2 |    223.7 |
    |  117 | 210 | 209 | 208 | 167 |  -1877.9 |  -2445.1 |   3457.9 |  1104.6 |   1438.3 |
    |  118 | 154 | 127 | 272 | 176 |    168.3 |   -358.1 |    506.5 |   -99.0 |    210.7 |
    |  119 | 142 | 140 | 139 | 141 |    473.3 |    -52.6 |     74.4 |  -278.4 |     31.0 |
    |  120 | 138 | 121 | 128 | 129 |    399.3 |   -177.9 |    251.5 |  -234.9 |    104.6 |
    |  121 | 147 | 229 | 299 | 231 |    682.4 |  -1243.1 |   1758.0 |  -401.4 |    731.2 |
    |  122 | 252 | 251 | 254 | 253 |    344.5 |    -38.3 |     54.2 |  -202.6 |     22.5 |
    |  123 | 144 | 142 | 141 | 143 |    516.4 |     91.1 |    128.8 |  -303.8 |    -53.6 |
    |  124 | 125 | 122 | 299 | 126 |    132.7 |  -1073.8 |   1518.5 |   -78.1 |    631.6 |
    |  125 |  30 | 248 | 250 | 255 |    294.2 |    -15.1 |     21.4 |  -173.1 |      8.9 |
    |  126 | 176 | 178 | 179 | 177 |    114.6 |   -346.0 |    489.3 |   -67.4 |    203.5 |
    |  127 | 272 | 127 | 117 | 110 |    206.8 |   -290.4 |    410.7 |  -121.6 |    170.8 |
    |  128 | 244 | 217 | 202 | 200 |     88.3 |   -113.1 |    159.9 |   -52.0 |     66.5 |
    |  129 | 215 | 146 | 155 | 161 |    467.6 |    329.7 |    466.3 |  -275.1 |   -193.9 |
    |  130 | 197 | 195 | 200 | 198 |    128.1 |   -132.8 |    187.9 |   -75.4 |     78.1 |
    |  131 | 246 | 223 | 174 | 172 |   -284.3 |   -274.8 |    388.7 |   167.3 |    161.7 |
    |  132 | 204 | 183 | 224 | 213 |    -98.5 |   -339.7 |    480.4 |    57.9 |    199.8 |
    |  133 | 169 | 170 | 172 | 171 |   -325.8 |   -424.1 |    599.7 |   191.6 |    249.5 |
    |  134 | 171 | 172 | 174 | 173 |   -153.5 |   -293.4 |    414.9 |    90.3 |    172.6 |
    |  135 | 226 | 174 | 223 | 225 |   -135.9 |   -182.0 |    257.4 |    79.9 |    107.1 |
    |  136 | 197 | 159 | 194 | 195 |    156.0 |   -207.3 |    293.2 |   -91.8 |    121.9 |
    |  137 | 178 | 180 | 192 | 179 |     13.0 |   -380.2 |    537.7 |    -7.6 |    223.7 |
    |  138 | 205 | 164 | 157 | 187 |    293.1 |    157.0 |    222.1 |  -172.4 |    -92.4 |
    |  139 | 244 | 200 | 195 | 276 |    114.3 |   -170.2 |    240.7 |   -67.2 |    100.1 |
